Issue Type,Status
Significant Impairment,Development Working
Significant Impairment,Review Update
Significant Impairment,Review Update
Significant Impairment,Review Update
Significant Impairment,Customer Working
Significant Impairment,Review Update
Significant Impairment,Review Defect
Significant Impairment,Customer Working
Technical Issue,Work in Progress
Technical Issue,Work in Progress
Technical Issue,Solution Offered
Significant Impairment,Customer Working
Technical Issue,Work in Progress
Significant Impairment,Customer Working
Significant Impairment,Review Update
Significant Impairment,Closed
Significant Impairment,Closed
Significant Impairment,Closed
Significant Impairment,Customer Working
Significant Impairment,Review Update
Technical Issue,Customer Working
Technical Issue,Customer Working
Significant Impairment,Closed
Technical Issue,Closed
Significant Impairment,Work in Progress
Significant Impairment,Closed
Significant Impairment,Close Initiated
Significant Impairment,Closed
Significant Impairment,Close Initiated
Significant Impairment,Closed
Significant Impairment,Development Working
Technical Issue,Closed
Critical Outage,Closed
Technical Issue,Closed
Technical Issue,Closed
Technical Issue,Close Requested
Significant Impairment,Closed
Significant Impairment,Review Update
Significant Impairment,Closed
Technical Issue,Closed
Technical Issue,Closed
Technical Issue,Closed
Significant Impairment,Closed
Technical Issue,Closed
Technical Issue,Closed
Significant Impairment,Closed
Significant Impairment,Closed
Technical Issue,Closed
Technical Issue,Closed
Significant Impairment,Closed
Significant Impairment,Closed
Significant Impairment,Closed
Technical Issue,Closed
Significant Impairment,Closed
Technical Issue,Closed
Technical Issue,Closed
Technical Issue,Closed
Technical Issue,Closed
Significant Impairment,Closed
Significant Impairment,Closed
Significant Impairment,Closed
Technical Issue,Closed
Technical Issue,Closed
Technical Issue,Closed
Technical Issue,Closed
Technical Issue,Closed
Technical Issue,Closed
Technical Issue,Closed
Technical Issue,Closed
Technical Issue,Closed
Technical Issue,Closed
